TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,SELL,200.23,49,2026-06-27
AAPL,SELL,163.91,45,2026-06-11
GOLD,SELL,2175.44,21,2026-06-26
GOLD,BUY,2307.21,10,2026-06-23
TSLA,SELL,192.98,20,2026-06-30
AAPL,BUY,146.46,17,2026-06-04
GOOGL,BUY,130.72,6,2026-06-22
TSLA,SELL,198.38,27,2026-06-16
MSFT,BUY,387.61,34,2026-06-03
AAPL,SELL,164.91,31,2026-06-07
GOLD,BUY,1916.22,20,2026-06-26
GOLD,SELL,2015.46,39,2026-06-26
TSLA,BUY,207.42,46,2026-06-08
GOOGL,SELL,139.32,14,2026-06-11
MSFT,BUY,435.72,25,2026-06-11
