TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,SELL,159.97,44,2026-04-08
GOOGL,SELL,147.74,24,2026-04-10
AAPL,SELL,156.23,16,2026-04-13
MSFT,SELL,383.74,39,2026-04-26
TSLA,BUY,202.84,10,2026-04-10
GOLD,BUY,1963.85,26,2026-04-15
GOLD,SELL,2132.08,21,2026-04-18
GOLD,SELL,2156.25,11,2026-04-05
GOOGL,SELL,147.33,42,2026-04-16
TSLA,BUY,196.94,39,2026-04-02
TSLA,SELL,184.85,47,2026-04-26
MSFT,BUY,417.23,18,2026-04-08
AAPL,SELL,151.03,39,2026-04-24
MSFT,BUY,366.75,41,2026-04-21
AAPL,BUY,164.38,45,2026-04-03
