TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,SELL,213.22,50,2026-11-13
MSFT,BUY,412.69,17,2026-11-28
GOLD,BUY,1961.0,24,2026-11-13
GOLD,SELL,2307.1,38,2026-11-30
GOLD,BUY,2309.98,31,2026-11-17
TSLA,BUY,214.48,21,2026-11-01
AAPL,SELL,148.85,32,2026-11-07
TSLA,BUY,202.02,32,2026-11-01
MSFT,SELL,377.0,5,2026-11-30
GOOGL,SELL,132.56,31,2026-11-02
TSLA,SELL,212.72,30,2026-11-26
GOOGL,SELL,136.96,44,2026-11-03
TSLA,BUY,180.76,47,2026-11-13
TSLA,BUY,198.67,14,2026-11-09
AAPL,BUY,162.88,6,2026-11-25
