TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,SELL,191.76,48,2026-03-27
GOOGL,SELL,133.48,41,2026-03-03
TSLA,SELL,182.29,25,2026-03-09
GOOGL,SELL,127.66,34,2026-03-04
GOOGL,BUY,147.16,14,2026-03-03
MSFT,SELL,370.61,50,2026-03-09
AAPL,BUY,135.93,23,2026-03-19
MSFT,BUY,403.01,26,2026-03-14
MSFT,SELL,363.25,39,2026-03-13
MSFT,SELL,435.29,40,2026-03-01
AAPL,SELL,160.13,45,2026-03-08
GOOGL,SELL,139.31,33,2026-03-10
MSFT,BUY,360.13,26,2026-03-27
TSLA,BUY,191.79,5,2026-03-21
TSLA,SELL,184.66,11,2026-03-27
