TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,SELL,163.54,10,2026-02-23
GOLD,SELL,2138.59,42,2026-02-18
GOLD,BUY,1945.55,40,2026-02-20
TSLA,SELL,199.91,32,2026-02-07
GOLD,SELL,2272.13,25,2026-02-26
AAPL,SELL,135.98,31,2026-02-06
GOLD,BUY,2235.62,17,2026-02-03
AAPL,SELL,164.97,8,2026-02-06
AAPL,SELL,151.33,14,2026-02-17
GOOGL,SELL,144.59,32,2026-02-27
TSLA,SELL,208.64,33,2026-02-15
GOOGL,BUY,139.43,19,2026-02-16
TSLA,BUY,183.27,28,2026-02-04
GOLD,BUY,2004.22,26,2026-02-09
TSLA,SELL,206.79,19,2026-02-13
