TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,BUY,159.0,21,2026-10-04
GOLD,BUY,2272.46,9,2026-10-08
GOOGL,SELL,138.79,19,2026-10-08
GOLD,BUY,2010.21,33,2026-10-09
AAPL,SELL,143.25,19,2026-10-01
AAPL,BUY,151.26,12,2026-10-17
TSLA,BUY,199.19,12,2026-10-01
GOLD,SELL,1942.36,27,2026-10-07
GOLD,BUY,1936.5,28,2026-10-17
GOOGL,BUY,153.09,10,2026-10-04
MSFT,BUY,406.08,18,2026-10-04
GOLD,SELL,2141.37,25,2026-10-14
TSLA,SELL,207.13,36,2026-10-15
GOLD,BUY,2137.49,16,2026-10-14
GOOGL,SELL,141.0,22,2026-10-22
