TICKER,ACTION,PRICE,QUANTITY,DATE
MSFT,SELL,364.17,5,2026-05-08
MSFT,BUY,401.49,5,2026-05-30
AAPL,SELL,147.6,5,2026-05-03
GOOGL,BUY,126.57,49,2026-05-25
MSFT,BUY,421.84,14,2026-05-08
GOOGL,BUY,145.24,50,2026-05-19
TSLA,BUY,203.35,50,2026-05-04
TSLA,BUY,198.25,50,2026-05-04
MSFT,BUY,428.84,33,2026-05-13
MSFT,BUY,417.97,24,2026-05-20
GOOGL,SELL,127.52,30,2026-05-08
TSLA,BUY,182.31,29,2026-05-04
TSLA,SELL,214.7,49,2026-05-28
GOLD,BUY,2024.0,27,2026-05-20
MSFT,BUY,402.39,28,2026-05-11
