TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,BUY,204.06,5,2026-09-06
TSLA,SELL,202.57,22,2026-09-09
MSFT,BUY,365.71,26,2026-09-08
GOLD,BUY,1917.13,13,2026-09-20
TSLA,SELL,210.13,40,2026-09-10
TSLA,SELL,181.52,5,2026-09-02
GOLD,SELL,1964.52,47,2026-09-01
AAPL,BUY,163.2,33,2026-09-12
GOOGL,BUY,145.96,38,2026-09-17
GOOGL,SELL,136.11,5,2026-09-16
MSFT,SELL,423.53,12,2026-09-12
TSLA,SELL,213.35,41,2026-09-12
GOOGL,SELL,152.56,29,2026-09-12
TSLA,BUY,203.05,20,2026-09-20
TSLA,SELL,181.73,25,2026-09-03
