TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,BUY,211.43,12,2026-01-21
GOLD,BUY,1958.24,14,2026-01-21
TSLA,BUY,196.22,37,2026-01-10
TSLA,SELL,184.94,41,2026-01-01
AAPL,BUY,138.13,46,2026-01-17
GOOGL,SELL,143.09,15,2026-01-03
AAPL,SELL,136.3,35,2026-01-16
GOLD,BUY,2125.0,47,2026-01-06
TSLA,SELL,211.79,20,2026-01-16
MSFT,BUY,431.61,50,2026-01-30
GOLD,BUY,2007.47,11,2026-01-25
AAPL,SELL,150.86,29,2026-01-07
MSFT,BUY,402.4,24,2026-01-06
AAPL,SELL,153.37,33,2026-01-17
MSFT,SELL,398.93,37,2026-01-28
