TICKER,ACTION,PRICE,QUANTITY,DATE
GOOGL,SELL,142.81,36,2026-12-15
AAPL,SELL,149.48,23,2026-12-21
TSLA,BUY,185.53,15,2026-12-27
MSFT,SELL,377.85,27,2026-12-28
GOOGL,SELL,132.85,15,2026-12-15
MSFT,SELL,437.29,20,2026-12-19
GOOGL,SELL,143.3,35,2026-12-01
AAPL,SELL,137.54,22,2026-12-11
TSLA,BUY,187.52,29,2026-12-21
TSLA,BUY,204.12,11,2026-12-24
GOLD,SELL,2068.92,32,2026-12-14
GOOGL,SELL,127.03,14,2026-12-24
GOLD,SELL,2155.73,45,2026-12-09
GOOGL,SELL,142.77,22,2026-12-20
GOLD,BUY,2118.32,24,2026-12-11
