TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,BUY,180.81,40,2026-07-03
AAPL,SELL,141.04,31,2026-07-29
AAPL,BUY,159.61,29,2026-07-11
TSLA,SELL,196.53,37,2026-07-12
TSLA,BUY,214.08,5,2026-07-23
MSFT,SELL,411.05,14,2026-07-13
GOOGL,SELL,128.91,47,2026-07-01
GOLD,BUY,2139.22,44,2026-07-05
TSLA,BUY,203.26,39,2026-07-15
TSLA,SELL,209.11,13,2026-07-24
AAPL,SELL,160.45,39,2026-07-08
TSLA,SELL,204.35,49,2026-07-10
GOOGL,SELL,140.81,10,2026-07-15
GOOGL,SELL,143.55,50,2026-07-26
TSLA,BUY,184.77,24,2026-07-10
