TICKER,ACTION,PRICE,QUANTITY,DATE
GOOGL,SELL,147.69,28,2026-10-29
MSFT,SELL,398.87,23,2026-10-16
MSFT,BUY,410.62,40,2026-10-05
MSFT,SELL,378.05,15,2026-10-01
TSLA,BUY,193.25,45,2026-10-12
AAPL,BUY,162.87,40,2026-10-07
GOOGL,SELL,149.91,47,2026-10-01
AAPL,SELL,146.93,17,2026-10-08
GOLD,BUY,2058.07,40,2026-10-30
MSFT,BUY,396.6,6,2026-10-25
MSFT,SELL,390.66,48,2026-10-25
GOOGL,BUY,144.74,42,2026-10-09
MSFT,BUY,438.18,19,2026-10-16
GOLD,BUY,2289.39,49,2026-10-23
GOOGL,BUY,150.61,27,2026-10-26
