TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,BUY,144.42,31,2026-08-10
GOOGL,SELL,143.0,23,2026-08-26
MSFT,SELL,370.79,13,2026-08-03
TSLA,BUY,215.54,8,2026-08-21
AAPL,BUY,144.88,35,2026-08-23
GOOGL,SELL,143.65,10,2026-08-13
GOOGL,BUY,143.17,18,2026-08-25
AAPL,SELL,147.69,21,2026-08-28
GOOGL,BUY,139.84,35,2026-08-25
GOOGL,BUY,136.34,11,2026-08-18
MSFT,BUY,427.88,18,2026-08-29
MSFT,BUY,417.42,20,2026-08-04
AAPL,BUY,161.63,42,2026-08-13
TSLA,SELL,190.43,40,2026-08-30
AAPL,SELL,140.26,14,2026-08-24
