TICKER,ACTION,PRICE,QUANTITY,DATE
GOOGL,SELL,144.83,39,2026-06-18
GOLD,BUY,2025.48,43,2026-06-21
MSFT,SELL,435.49,30,2026-06-30
AAPL,SELL,148.97,46,2026-06-14
GOLD,BUY,1933.53,8,2026-06-04
TSLA,SELL,195.06,8,2026-06-13
GOLD,SELL,2261.15,29,2026-06-09
MSFT,BUY,383.64,48,2026-06-12
TSLA,BUY,207.59,24,2026-06-15
AAPL,SELL,147.44,27,2026-06-17
TSLA,SELL,187.06,23,2026-06-13
TSLA,SELL,202.68,26,2026-06-21
GOOGL,BUY,128.03,49,2026-06-23
MSFT,BUY,374.76,47,2026-06-23
GOLD,SELL,2165.01,50,2026-06-15
