TICKER,ACTION,PRICE,QUANTITY,DATE
GOOGL,SELL,128.46,26,2026-07-15
TSLA,SELL,213.11,40,2026-07-20
GOLD,SELL,2223.93,40,2026-07-26
GOOGL,SELL,135.14,36,2026-07-12
AAPL,SELL,163.25,10,2026-07-02
AAPL,SELL,146.9,18,2026-07-29
AAPL,SELL,139.16,31,2026-07-26
TSLA,SELL,194.06,17,2026-07-18
MSFT,BUY,423.87,30,2026-07-23
GOLD,SELL,2045.89,17,2026-07-12
AAPL,SELL,164.82,10,2026-07-11
GOLD,SELL,2076.01,17,2026-07-12
TSLA,SELL,212.18,31,2026-07-15
MSFT,SELL,371.26,25,2026-07-09
AAPL,BUY,153.48,47,2026-07-17
