TICKER,ACTION,PRICE,QUANTITY,DATE
MSFT,SELL,416.29,7,2026-04-07
TSLA,BUY,184.36,38,2026-04-17
AAPL,BUY,156.78,41,2026-04-24
TSLA,BUY,181.27,7,2026-04-10
AAPL,BUY,136.78,6,2026-04-29
GOLD,BUY,2097.29,18,2026-04-20
MSFT,SELL,435.97,41,2026-04-09
TSLA,SELL,207.01,33,2026-04-26
MSFT,SELL,434.24,8,2026-04-06
AAPL,BUY,139.04,43,2026-04-02
GOOGL,BUY,135.96,5,2026-04-05
GOOGL,SELL,152.53,21,2026-04-28
GOOGL,BUY,133.06,34,2026-04-26
TSLA,SELL,182.47,10,2026-04-30
TSLA,SELL,209.74,10,2026-04-08
