TICKER,ACTION,PRICE,QUANTITY,DATE
MSFT,SELL,432.75,32,2026-12-10
AAPL,BUY,164.78,5,2026-12-29
TSLA,BUY,191.94,15,2026-12-19
AAPL,SELL,145.98,20,2026-12-25
GOLD,SELL,2263.95,37,2026-12-03
AAPL,BUY,156.55,20,2026-12-27
AAPL,SELL,164.29,43,2026-12-20
TSLA,SELL,212.29,29,2026-12-03
AAPL,BUY,138.01,19,2026-12-24
GOLD,BUY,1945.89,44,2026-12-11
AAPL,BUY,149.51,33,2026-12-03
TSLA,BUY,189.52,44,2026-12-28
MSFT,SELL,414.35,36,2026-12-30
TSLA,SELL,216.29,28,2026-12-30
MSFT,SELL,387.53,10,2026-12-23
