TICKER,ACTION,PRICE,QUANTITY,DATE
MSFT,SELL,391.87,49,2026-02-14
AAPL,BUY,157.89,34,2026-02-24
GOOGL,SELL,133.43,43,2026-02-13
TSLA,BUY,206.73,43,2026-02-26
GOOGL,BUY,152.35,27,2026-02-08
TSLA,BUY,193.6,25,2026-02-03
GOOGL,BUY,141.87,26,2026-02-21
GOOGL,SELL,126.63,39,2026-02-18
GOOGL,SELL,152.76,26,2026-02-18
AAPL,BUY,152.86,45,2026-02-14
AAPL,SELL,148.41,43,2026-02-20
GOLD,SELL,2152.45,10,2026-02-27
AAPL,SELL,160.79,6,2026-02-25
AAPL,BUY,162.58,47,2026-02-07
GOLD,BUY,2048.19,29,2026-02-11
