TICKER,ACTION,PRICE,QUANTITY,DATE
TSLA,BUY,193.01,21,2026-11-05
MSFT,SELL,377.5,17,2026-11-11
AAPL,SELL,149.52,8,2026-11-18
GOOGL,BUY,148.57,26,2026-11-06
GOLD,SELL,2252.74,27,2026-11-09
GOLD,BUY,2147.49,40,2026-11-07
AAPL,SELL,151.77,16,2026-11-15
AAPL,SELL,142.82,11,2026-11-14
GOLD,BUY,2179.43,39,2026-11-22
GOLD,SELL,2138.53,12,2026-11-13
AAPL,BUY,143.08,29,2026-11-28
AAPL,SELL,136.16,48,2026-11-02
GOLD,SELL,2167.22,34,2026-11-27
GOLD,SELL,2282.47,27,2026-11-17
GOOGL,SELL,140.32,26,2026-11-07
