TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,BUY,142.91,39,2026-01-09
AAPL,SELL,149.27,27,2026-01-08
GOLD,BUY,1953.71,9,2026-01-04
MSFT,SELL,382.9,44,2026-01-06
AAPL,SELL,161.09,33,2026-01-26
MSFT,SELL,434.77,31,2026-01-25
GOLD,SELL,1984.04,43,2026-01-18
AAPL,SELL,137.41,13,2026-01-10
MSFT,SELL,377.67,50,2026-01-28
GOLD,BUY,2134.24,26,2026-01-22
MSFT,SELL,373.29,44,2026-01-14
GOLD,SELL,2077.21,48,2026-01-21
GOOGL,BUY,143.46,7,2026-01-07
TSLA,BUY,187.74,6,2026-01-29
AAPL,SELL,159.02,14,2026-01-15
