TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,BUY,149.71,41,2026-05-13
GOLD,BUY,2226.67,45,2026-05-02
AAPL,BUY,152.63,5,2026-05-07
GOOGL,SELL,138.85,26,2026-05-03
GOLD,BUY,2287.83,26,2026-05-02
GOLD,SELL,2254.33,14,2026-05-14
GOLD,SELL,2154.63,41,2026-05-14
GOLD,BUY,1945.22,33,2026-05-11
GOLD,SELL,2059.67,23,2026-05-17
GOOGL,BUY,142.0,40,2026-05-24
TSLA,BUY,203.55,30,2026-05-28
GOLD,SELL,1948.03,36,2026-05-09
GOOGL,SELL,146.13,48,2026-05-04
MSFT,SELL,383.18,22,2026-05-11
AAPL,BUY,147.01,18,2026-05-17
